"Proc","EventDur","EC1","EC2","EC3","Time","SeqIndx"
16,102,2,245,418,7,1
16,496,2,245,418,10,5
16,160,1,100,0,21,3
16,488,2,245,418,9,5
16,112,2,245,418,9,1
16,146,1,100,0,27,3
16,124,1,100,0,5,3
16,166,1,100,0,20,3
16,148,1,100,0,27,3
16,136,2,245,418,8,1
16,104,2,245,418,7,1
16,148,1,100,0,14,3
16,142,2,245,418,9,1
16,106,2,245,418,6,1
16,99,2,245,418,7,1
16,140,1,100,0,21,3
16,442,2,245,418,9,1
16,110,2,245,418,8,1
16,864,2,245,418,6,10
16,13832,2,204,319,25,157
16,128,2,245,418,6,1
16,222,1,100,0,5,3
16,142,1,100,0,26,3
16,164,1,100,0,27,3
16,102,2,245,418,7,1
16,88,2,245,418,7,1
16,110,2,245,418,7,1
16,112,1,100,0,18,3
16,92,2,245,418,7,1
16,136,1,100,0,4,3
16,126,1,100,0,19,3
16,102,2,245,418,7,1
16,100,2,245,418,7,1
16,131,2,245,418,8,1
16,102,2,245,418,6,1
16,141,1,100,0,13,3
16,94,2,245,418,6,1
16,13832,2,204,319,11,157
16,90,2,245,418,10,1
16,102,2,245,418,6,1
16,120,2,245,418,9,1
16,138,1,100,0,22,3
16,100,2,245,418,9,1
16,98,2,245,418,6,1
16,90,2,245,418,8,1
16,96,2,245,418,6,1
16,108,2,245,418,9,1
16,108,2,245,418,9,1
16,166,1,100,0,27,3
16,172,1,100,0,11,3
16,120,2,245,418,8,1
16,240,2,204,317,10,61
16,134,1,100,0,20,3
16,13830,2,204,319,11,157
16,102,2,245,418,6,1
16,270,1,100,0,18,16
16,122,1,100,0,29,3
16,126,2,245,418,7,1
16,13858,2,204,319,16,157
16,94,2,245,418,7,1
16,90,2,245,418,8,1
16,108,2,245,418,9,1
16,114,1,100,0,4,3
16,102,2,245,418,7,1
16,146,2,245,418,7,1
16,390,1,100,0,27,3
16,112,2,245,418,8,1
16,146,1,100,0,19,3
16,92,2,245,418,6,1
16,134,1,100,0,19,3
16,138,1,100,0,23,3
16,138,2,245,418,7,1
16,88,2,245,418,6,1
16,159,2,245,418,6,1
16,213,1,100,0,22,3
16,124,1,100,0,29,3
16,142,1,100,0,4,3
16,110,2,245,418,7,1
16,142,1,100,0,15,3
16,13815,2,250,405,10,147
16,126,1,100,0,5,3
16,488,2,245,418,8,1
16,270,1,100,0,20,3
16,132,2,245,418,7,1
16,128,1,100,0,23,3
16,440,2,245,418,8,1
16,13848,2,204,319,20,157
16,132,2,245,418,7,1
16,118,2,245,418,9,1
16,140,1,100,0,4,3
16,90,2,245,418,6,1
16,102,2,245,418,9,1
16,158,2,245,418,9,1
16,172,1,100,0,17,3
16,110,2,245,418,7,1
16,131,1,100,0,26,3
16,144,1,100,0,29,3
16,146,2,245,418,9,1
16,112,2,245,418,7,1
16,102,2,245,418,9,1
16,162,1,100,0,23,3
16,120,2,245,418,7,1
16,112,1,100,0,4,3
16,440,2,245,418,9,1
16,116,1,100,0,4,3
16,128,2,245,418,6,1
16,122,1,100,0,23,3
16,122,2,245,418,9,1
16,104,2,245,418,7,1
16,128,1,100,0,25,3
16,148,1,100,0,28,3
16,134,1,100,0,28,3
16,92,2,245,418,9,1
16,126,2,245,418,7,1
16,130,1,100,0,27,3
16,122,2,245,418,6,1
16,146,2,245,418,8,1
16,92,2,245,418,7,1
16,140,1,100,0,24,3
16,106,2,245,418,9,1
16,92,2,245,418,8,1
16,416,2,245,418,9,4
16,112,2,245,418,6,1
16,106,2,245,418,7,1
16,88,2,245,418,7,1
16,98,2,245,418,10,1
16,158,2,245,418,9,1
16,94,2,245,418,9,1
16,212,2,204,317,10,61
16,572,2,204,317,21,61
16,90,2,245,418,6,1
16,104,2,245,418,7,1
16,124,1,100,0,17,3
16,270,2,245,418,8,4
16,100,2,245,418,9,1
16,114,2,245,418,8,1
16,148,1,100,0,12,3
16,102,2,245,418,7,1
16,114,1,100,0,5,3
16,92,2,245,418,9,1
16,153,2,245,418,6,1
16,100,2,245,418,6,1
16,142,2,245,418,7,1
16,104,2,245,418,6,1
16,92,2,245,418,6,1
16,158,2,245,418,9,1
16,456,2,245,418,9,1
16,16,2,245,418,8,2
16,102,2,245,418,10,1
16,138,1,100,0,15,3
16,112,2,245,418,8,1
16,100,2,245,418,7,1
16,136,2,245,418,8,1
16,94,2,245,418,6,1
16,104,2,245,418,6,1
16,124,1,100,0,4,3
16,172,2,245,418,8,1
16,134,2,245,418,6,1
16,92,2,245,418,9,1
16,92,2,245,418,6,1
16,146,2,245,418,7,1
16,98,2,245,418,10,1
16,182,1,100,0,7,3
16,150,2,245,418,7,1
16,92,2,245,418,9,1
16,123,1,100,0,22,3
16,102,2,245,418,8,1
16,13874,2,204,319,15,157
16,172,1,100,0,20,3
16,96,1,100,0,5,3
16,100,2,245,418,8,1
16,93,2,245,418,8,1
16,132,1,100,0,14,3
16,118,1,100,0,4,3
16,162,1,100,0,20,3
16,192,1,100,0,20,20
16,296,1,100,0,17,280
16,166,1,100,0,5,3
16,7162,2,204,319,14,110
16,152,2,245,418,9,1
16,24813,2,204,319,10,264
16,13872,2,204,319,10,157
16,142,2,245,418,8,1
16,142,2,245,418,7,1
16,138,2,245,418,8,1
16,146,1,100,0,20,3
16,90,2,245,418,9,1
16,138,1,100,0,22,3
16,92,2,245,418,8,1
16,554,2,245,418,6,5
16,112,2,245,418,7,1
16,94,2,245,418,6,1
16,110,2,245,418,7,1
16,106,2,245,418,8,1
16,106,2,245,418,8,1
16,96,2,245,418,6,1
16,96,2,245,418,9,1
16,152,2,245,418,9,1
16,170,2,245,418,6,1
16,112,2,245,418,9,1
16,112,2,245,418,8,1
16,112,2,245,418,6,1
16,100,2,245,418,8,1
16,98,2,245,418,9,1
16,98,2,245,418,6,1
16,7160,2,204,319,14,110
16,13870,2,204,319,10,157
16,102,2,245,418,7,1
16,432,2,245,418,9,1
16,100,2,245,418,6,1
16,92,2,245,418,8,1
16,102,2,245,418,9,1
16,98,2,245,418,9,1
16,134,1,100,0,5,3
16,88,2,245,418,5,1
16,128,1,100,0,5,3
16,140,2,245,418,8,1
16,132,2,245,418,9,1
16,822,2,245,418,7,33
16,100,2,245,418,10,1
16,134,1,100,0,21,3
16,128,1,100,0,4,3
16,102,2,245,418,7,1
16,96,2,245,418,7,1
16,158,1,100,0,22,3
16,128,1,100,0,13,3
16,130,1,100,0,28,3
16,126,1,100,0,4,3
16,92,2,245,418,9,1
16,98,2,245,418,6,1
16,104,2,245,418,8,1
16,114,2,245,418,8,1
16,130,1,100,0,4,3
16,102,2,245,418,9,1
16,138,1,100,0,4,3
